,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,107,ELECCIONES PASO 13/08/2017,640
1,Votantes :,75.14 %,107,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,108,ELECCIONES PASO 13/08/2017,640
1,Votantes :,76.86 %,108,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,109,ELECCIONES PASO 13/08/2017,640
1,Votantes :,77.21 %,109,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,351,110,ELECCIONES PASO 13/08/2017,640
1,Votantes :,79.49 %,110,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,111,ELECCIONES PASO 13/08/2017,640
1,Votantes :,76.86 %,111,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,349,112,ELECCIONES PASO 13/08/2017,640
1,Votantes :,79.08 %,112,ELECCIONES PASO 13/08/2017,640
0,Total Inscriptos :,350,113,ELECCIONES PASO 13/08/2017,641
1,Votantes :,76.29 %,113,ELECCIONES PASO 13/08/2017,641
0,Total Inscriptos :,350,114,ELECCIONES PASO 13/08/2017,641
1,Votantes :,76.29 %,114,ELECCIONES PASO 13/08/2017,641
0,Total Inscriptos :,350,115,ELECCIONES PASO 13/08/2017,641
1,Votantes :,76.86 %,115,ELECCIONES PASO 13/08/2017,641
0,Total Inscriptos :,350,116,ELECCIONES PASO 13/08/2017,641
1,Votantes :,74.00 %,116,ELECCIONES PASO 13/08/2017,641
0,Total Inscriptos :,351,117,ELECCIONES PASO 13/08/2017,641
1,Votantes :,80.34 %,117,ELECCIONES PASO 13/08/2017,641
0,Total Inscriptos :,351,118,ELECCIONES PASO 13/08/2017,641
1,Votantes :,76.64 %,118,ELECCIONES PASO 13/08/2017,641
0,Total Inscriptos :,293,119,ELECCIONES PASO 13/08/2017,641
1,Votantes :,75.43 %,119,ELECCIONES PASO 13/08/2017,641
0,Total Inscriptos :,351,120,ELECCIONES PASO 13/08/2017,642
1,Votantes :,78.35 %,120,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,351,121,ELECCIONES PASO 13/08/2017,642
1,Votantes :,80.63 %,121,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,122,ELECCIONES PASO 13/08/2017,642
1,Votantes :,80.00 %,122,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,123,ELECCIONES PASO 13/08/2017,642
1,Votantes :,78.00 %,123,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,124,ELECCIONES PASO 13/08/2017,642
1,Votantes :,80.57 %,124,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,351,125,ELECCIONES PASO 13/08/2017,642
1,Votantes :,77.78 %,125,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,126,ELECCIONES PASO 13/08/2017,642
1,Votantes :,82.29 %,126,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,127,ELECCIONES PASO 13/08/2017,642
1,Votantes :,78.00 %,127,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,128,ELECCIONES PASO 13/08/2017,642
1,Votantes :,79.71 %,128,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,351,129,ELECCIONES PASO 13/08/2017,642
1,Votantes :,76.07 %,129,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,351,130,ELECCIONES PASO 13/08/2017,642
1,Votantes :,84.62 %,130,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,131,ELECCIONES PASO 13/08/2017,642
1,Votantes :,80.00 %,131,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,132,ELECCIONES PASO 13/08/2017,642
1,Votantes :,79.43 %,132,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,133,ELECCIONES PASO 13/08/2017,642
1,Votantes :,82.57 %,133,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,134,ELECCIONES PASO 13/08/2017,642
1,Votantes :,79.71 %,134,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,135,ELECCIONES PASO 13/08/2017,642
1,Votantes :,82.00 %,135,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,136,ELECCIONES PASO 13/08/2017,642
1,Votantes :,82.86 %,136,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,137,ELECCIONES PASO 13/08/2017,642
1,Votantes :,80.57 %,137,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,138,ELECCIONES PASO 13/08/2017,642
1,Votantes :,79.71 %,138,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,139,ELECCIONES PASO 13/08/2017,642
1,Votantes :,79.14 %,139,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,140,ELECCIONES PASO 13/08/2017,642
1,Votantes :,80.00 %,140,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,141,ELECCIONES PASO 13/08/2017,642
1,Votantes :,79.43 %,141,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,350,142,ELECCIONES PASO 13/08/2017,642
1,Votantes :,77.14 %,142,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,190,143,ELECCIONES PASO 13/08/2017,642
1,Votantes :,85.79 %,143,ELECCIONES PASO 13/08/2017,642
0,Total Inscriptos :,351,144,ELECCIONES PASO 13/08/2017,643
1,Votantes :,73.22 %,144,ELECCIONES PASO 13/08/2017,643
0,Total Inscriptos :,350,145,ELECCIONES PASO 13/08/2017,643
1,Votantes :,79.43 %,145,ELECCIONES PASO 13/08/2017,643
0,Total Inscriptos :,350,146,ELECCIONES PASO 13/08/2017,643
1,Votantes :,83.14 %,146,ELECCIONES PASO 13/08/2017,643
0,Total Inscriptos :,351,147,ELECCIONES PASO 13/08/2017,643
1,Votantes :,76.92 %,147,ELECCIONES PASO 13/08/2017,643
0,Total Inscriptos :,192,148,ELECCIONES PASO 13/08/2017,643
1,Votantes :,74.48 %,148,ELECCIONES PASO 13/08/2017,643
0,Total Inscriptos :,193,149,ELECCIONES PASO 13/08/2017,643
1,Votantes :,75.65 %,149,ELECCIONES PASO 13/08/2017,643
0,Total Inscriptos :,350,150,ELECCIONES PASO 13/08/2017,644
1,Votantes :,72.00 %,150,ELECCIONES PASO 13/08/2017,644
