,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
8,,VOTOS EN BLANCO,19.0,11,13,16.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,278.0,278,278,278.0,88,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,5,5,,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,7,8,8.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,98.0,101,97,64.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,139.0,141,140,172.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,13.0,11,11,15.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,0.0,0,0,2.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,1.0,1,1,1.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,22.0,16,20,20.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,282.0,282,282,282.0,89,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,0,0,,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,1.0,1,1,1.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
2,135,JUNTOS POR EL CAMBIO,23.0,24,22,22.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
3,136/503,FRENTE DE TODOS,35.0,34,36,44.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
4,137,CONSENSO FEDERAL,7.0,6,6,5.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
5,,VOTOS NULOS,0.0,0,0,0.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
8,,VOTOS EN BLANCO,7.0,8,8,1.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
9,,TOTALES,73.0,73,73,73.0,90,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,639
0,131/1911,FRENTE NOS,,1,1,,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,4,7,4.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,126.0,128,123,87.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,130.0,133,133,174.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,12.0,12,13,7.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,1.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,16.0,14,15,19.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,292.0,292,292,292.0,91,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,1,,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,7,8,6.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,142.0,146,138,108.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,113.0,115,117,158.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,17.0,10,10,15.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,1.0,1,2,1.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,17.0,16,21,9.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,297.0,297,297,297.0,92,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,2,,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,16.0,12,12,9.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,114.0,118,116,85.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,141.0,144,144,183.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,13.0,11,11,6.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,1.0,0,0,0.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,10.0,8,10,12.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,295.0,295,295,295.0,93,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,1,2,,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,5,8,2.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,132.0,138,133,91.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,109.0,113,111,159.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,21.0,20,22,22.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,1,0,1.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,17.0,10,12,13.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,288.0,288,288,288.0,94,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,3,3,,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,6,8,5.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,116.0,121,118,82.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,137.0,137,138,170.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,18.0,16,16,18.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,3.0,3,3,3.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,9.0,6,6,14.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,292.0,292,292,292.0,95,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,1,1,,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,4,5,3.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,115.0,121,115,80.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,141.0,140,141,177.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,16.0,16,16,15.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,0.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,15.0,11,15,18.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,293.0,293,293,293.0,96,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,0,0,,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,5,5,5.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,149.0,155,149,109.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,109.0,111,114,150.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,15.0,12,12,18.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,2.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,12.0,11,14,10.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,294.0,294,294,294.0,97,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,4,,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,10.0,8,10,4.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,128.0,136,125,89.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,116.0,116,119,178.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,23.0,19,19,15.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,0.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,15.0,11,15,6.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,292.0,292,292,292.0,98,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,4,5,,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,10.0,8,8,5.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,128.0,134,130,104.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,124.0,125,124,156.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,14.0,10,10,9.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,4.0,5,4,4.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,14.0,8,13,16.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,294.0,294,294,294.0,99,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,3,,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,3,4,0.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,139.0,143,136,103.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,111.0,112,116,157.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,16.0,13,14,10.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,2.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,17.0,14,14,15.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,288.0,288,288,288.0,100,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,0,0,,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,2,4,2.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,127.0,132,124,86.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,116.0,117,118,178.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,17.0,16,16,6.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,1.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,16.0,14,19,8.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,282.0,282,282,282.0,101,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,4,,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,3.0,3,3,3.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,131.0,135,130,95.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,132.0,133,131,176.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,15.0,12,13,9.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,1,0,1.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,17.0,12,17,14.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,298.0,298,298,298.0,102,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,0,0,,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,6,7,7.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,150.0,151,148,107.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,109.0,109,111,156.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,24.0,23,23,19.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,0.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,12.0,12,12,12.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,301.0,301,301,301.0,103,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,1,1,,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,11.0,8,10,6.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,109.0,116,108,78.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,130.0,133,133,171.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,15.0,12,12,12.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,1.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,17.0,12,18,14.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,282.0,282,282,282.0,104,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,3,3,,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,5,6,6.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,119.0,123,119,97.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,129.0,130,130,153.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,21.0,19,18,15.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,0.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,11.0,7,11,16.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,287.0,287,287,287.0,105,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,3,4,,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,6,7,5.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,125.0,135,129,95.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,105.0,107,105,149.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,24.0,18,18,16.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,0.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,16.0,9,15,13.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,278.0,278,278,278.0,106,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,2,,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,12.0,11,12,9.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,136.0,143,138,83.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,114.0,115,116,161.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,22.0,17,17,18.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,0.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,11.0,7,10,24.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,295.0,295,295,295.0,107,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,1,1,,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,11.0,10,11,10.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,124.0,130,122,86.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,110.0,112,113,162.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,29.0,24,24,19.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,0.0,0,0,4.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,17.0,14,20,10.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,291.0,291,291,291.0,108,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,0,1,,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,6,6,5.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,135.0,140,135,96.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,129.0,131,132,178.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,17.0,13,14,9.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,1.0,2,1,2.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,15.0,11,14,13.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,303.0,303,303,303.0,109,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,3,2,,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,11.0,6,9,3.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,132.0,136,127,90.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,115.0,117,121,172.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,17.0,14,15,9.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,2.0,3,4,7.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,11.0,9,10,7.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
