,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,PARLAMENTARIO MERCOSUR (DN),mesa,eleciones,circuito
6,,VOTOS EN BLANCO,3,18,15,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,3,15,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,15,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,15,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,290,290,15,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,54,56,16,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,4,16,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,16,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,163,166,16,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,6,16,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,53,40,16,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,12,16,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,16,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,16,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,16,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,286,286,16,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,74,77,17,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,9,9,17,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,2,17,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,129,123,17,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,11,17,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,61,54,17,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,17,17,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,17,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,17,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,17,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,293,293,17,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,83,79,18,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,4,18,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,0,18,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,130,126,18,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,9,18,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,56,49,18,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,21,18,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,18,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,18,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,18,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,288,288,18,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,63,58,19,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,6,19,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,19,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,133,127,19,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,10,19,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,47,19,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,23,19,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,8,8,19,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,19,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,19,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,281,281,19,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,76,75,20,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,8,20,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,20,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,133,129,20,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,10,20,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,55,44,20,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,18,20,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,20,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,20,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,20,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,287,287,20,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,89,86,21,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,6,21,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,21,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,137,127,21,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,8,21,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,60,50,21,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,0,20,21,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,21,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,21,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,21,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,299,299,21,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,88,81,22,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,4,22,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,6,6,22,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,142,140,22,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,8,22,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,45,22,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,2,21,22,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,22,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,22,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,22,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,305,305,22,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,83,84,23,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,11,9,23,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,23,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,149,147,23,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,5,23,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,55,45,23,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,0,13,23,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,23,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,23,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,23,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,304,304,23,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,76,73,24,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,9,7,24,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,1,24,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,147,147,24,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,6,24,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,44,38,24,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,13,24,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,24,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,24,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,1,1,24,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,287,287,24,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,82,86,25,ELECCIONES GENERALES 25/10/2015,638
