,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,PARLAMENTARIO MERCOSUR (DN),mesa,eleciones,circuito
2,133.0,ALIANZA COMPROMISO FEDERAL,0,0,74,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,40,39,74,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,4,4,74,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,16,11,74,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,8,74,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,0,74,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,74,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,74,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,91,91,74,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,123,120,75,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,6,5,75,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,4,3,75,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,59,59,75,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,8,75,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,89,76,75,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,11,29,75,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,2,2,75,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,75,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,75,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,302,302,75,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,125,123,76,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,2,3,76,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,76,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,69,65,76,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,4,4,76,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,77,62,76,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,14,35,76,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,3,3,76,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,76,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,76,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,297,297,76,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,132,132,77,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,0,0,77,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,6,4,77,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,71,67,77,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,5,77,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,76,64,77,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,11,30,77,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,0,0,77,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,77,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,77,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,302,302,77,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,134,135,78,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,3,2,78,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,4,2,78,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,72,69,78,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,6,78,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,73,58,78,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,14,33,78,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,1,1,78,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,78,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,78,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,306,306,78,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,136,137,79,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,5,8,79,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,5,4,79,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,76,75,79,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,4,3,79,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,64,49,79,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,9,24,79,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,3,2,79,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,79,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,79,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,302,302,79,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,120,123,80,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,6,4,80,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,6,6,80,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,64,58,80,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,8,80,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,79,59,80,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,20,45,80,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,0,0,80,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,80,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,80,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,303,303,80,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,164,162,81,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,3,2,81,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,4,3,81,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,57,59,81,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,8,81,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,59,48,81,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,5,18,81,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,3,2,81,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,1,1,81,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,81,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,303,303,81,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,130,131,82,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,5,3,82,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,4,3,82,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,64,65,82,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,10,82,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,69,54,82,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,9,24,82,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,4,5,82,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,82,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,82,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,295,295,82,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,138,138,83,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,4,3,83,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,83,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,65,60,83,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,8,83,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,64,53,83,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,14,30,83,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,8,8,83,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,83,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,83,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,302,302,83,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,124,121,84,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,3,2,84,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,3,4,84,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,75,76,84,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,2,2,84,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,73,62,84,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,19,33,84,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,1,0,84,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,84,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,84,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,300,300,84,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,140,136,85,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,1,2,85,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,0,0,85,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,67,55,85,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,5,85,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,73,58,85,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,9,40,85,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,3,3,85,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,85,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,85,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,299,299,85,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,132,132,86,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,2,2,86,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,5,5,86,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,61,58,86,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,9,86,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,73,67,86,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,10,18,86,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,1,0,86,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,86,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,86,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,291,291,86,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,137,132,87,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,3,2,87,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,4,2,87,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,65,66,87,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,9,87,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,69,57,87,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,10,25,87,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,2,3,87,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,87,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,87,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,296,296,87,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,115,117,88,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,2,1,88,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,5,4,88,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,89,90,88,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,9,88,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,71,55,88,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,9,23,88,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,0,0,88,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,88,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,88,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,299,299,88,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,137,143,89,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,5,3,89,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,89,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,59,57,89,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,5,89,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,77,58,89,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,20,38,89,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,0,0,89,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,89,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,89,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,307,307,89,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,23,22,90,ELECCIONES GENERALES 25/10/2015,639
1,132.0,ALIANZA PROGRESISTAS,2,2,90,ELECCIONES GENERALES 25/10/2015,639
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,90,ELECCIONES GENERALES 25/10/2015,639
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,13,14,90,ELECCIONES GENERALES 25/10/2015,639
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,2,2,90,ELECCIONES GENERALES 25/10/2015,639
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,19,16,90,ELECCIONES GENERALES 25/10/2015,639
6,,VOTOS EN BLANCO,4,7,90,ELECCIONES GENERALES 25/10/2015,639
7,,VOTOS NULOS,1,1,90,ELECCIONES GENERALES 25/10/2015,639
8,,VOTOS RECURRIDOS,0,0,90,ELECCIONES GENERALES 25/10/2015,639
9,,VOTOS IMPUGNADOS,0,0,90,ELECCIONES GENERALES 25/10/2015,639
10,,TOTALES,65,65,90,ELECCIONES GENERALES 25/10/2015,639
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,93,95,91,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,6,4,91,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,5,4,91,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,103,105,91,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,9,91,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,76,62,91,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,6,17,91,ELECCIONES GENERALES 25/10/2015,640
7,,VOTOS NULOS,1,0,91,ELECCIONES GENERALES 25/10/2015,640
8,,VOTOS RECURRIDOS,0,0,91,ELECCIONES GENERALES 25/10/2015,640
9,,VOTOS IMPUGNADOS,0,0,91,ELECCIONES GENERALES 25/10/2015,640
10,,TOTALES,296,296,91,ELECCIONES GENERALES 25/10/2015,640
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,96,95,92,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,4,3,92,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,92,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,111,108,92,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,10,92,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,70,56,92,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,5,22,92,ELECCIONES GENERALES 25/10/2015,640
7,,VOTOS NULOS,1,1,92,ELECCIONES GENERALES 25/10/2015,640
8,,VOTOS RECURRIDOS,1,1,92,ELECCIONES GENERALES 25/10/2015,640
9,,VOTOS IMPUGNADOS,0,0,92,ELECCIONES GENERALES 25/10/2015,640
10,,TOTALES,299,299,92,ELECCIONES GENERALES 25/10/2015,640
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,100,98,93,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,3,2,93,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,6,2,93,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,114,112,93,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,12,16,93,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,70,53,93,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,2,24,93,ELECCIONES GENERALES 25/10/2015,640
7,,VOTOS NULOS,0,0,93,ELECCIONES GENERALES 25/10/2015,640
8,,VOTOS RECURRIDOS,0,0,93,ELECCIONES GENERALES 25/10/2015,640
9,,VOTOS IMPUGNADOS,0,0,93,ELECCIONES GENERALES 25/10/2015,640
10,,TOTALES,307,307,93,ELECCIONES GENERALES 25/10/2015,640
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,95,97,94,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,4,6,94,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,4,4,94,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,109,107,94,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,7,94,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,78,60,94,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,5,22,94,ELECCIONES GENERALES 25/10/2015,640
7,,VOTOS NULOS,1,1,94,ELECCIONES GENERALES 25/10/2015,640
8,,VOTOS RECURRIDOS,0,0,94,ELECCIONES GENERALES 25/10/2015,640
9,,VOTOS IMPUGNADOS,0,0,94,ELECCIONES GENERALES 25/10/2015,640
10,,TOTALES,304,304,94,ELECCIONES GENERALES 25/10/2015,640
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,123,120,95,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,3,2,95,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,5,5,95,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,89,88,95,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,13,95,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,68,58,95,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,7,20,95,ELECCIONES GENERALES 25/10/2015,640
7,,VOTOS NULOS,1,1,95,ELECCIONES GENERALES 25/10/2015,640
8,,VOTOS RECURRIDOS,0,0,95,ELECCIONES GENERALES 25/10/2015,640
9,,VOTOS IMPUGNADOS,0,0,95,ELECCIONES GENERALES 25/10/2015,640
10,,TOTALES,307,307,95,ELECCIONES GENERALES 25/10/2015,640
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,93,92,96,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,2,2,96,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,96,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,109,107,96,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,7,96,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,73,54,96,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,5,28,96,ELECCIONES GENERALES 25/10/2015,640
7,,VOTOS NULOS,1,1,96,ELECCIONES GENERALES 25/10/2015,640
8,,VOTOS RECURRIDOS,1,1,96,ELECCIONES GENERALES 25/10/2015,640
9,,VOTOS IMPUGNADOS,0,0,96,ELECCIONES GENERALES 25/10/2015,640
10,,TOTALES,294,294,96,ELECCIONES GENERALES 25/10/2015,640
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,112,111,97,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,4,3,97,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,5,5,97,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,104,101,97,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,11,97,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,66,55,97,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,4,18,97,ELECCIONES GENERALES 25/10/2015,640
7,,VOTOS NULOS,1,1,97,ELECCIONES GENERALES 25/10/2015,640
8,,VOTOS RECURRIDOS,0,0,97,ELECCIONES GENERALES 25/10/2015,640
9,,VOTOS IMPUGNADOS,0,0,97,ELECCIONES GENERALES 25/10/2015,640
10,,TOTALES,305,305,97,ELECCIONES GENERALES 25/10/2015,640
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,118,124,98,ELECCIONES GENERALES 25/10/2015,640
1,132.0,ALIANZA PROGRESISTAS,2,5,98,ELECCIONES GENERALES 25/10/2015,640
2,133.0,ALIANZA COMPROMISO FEDERAL,7,5,98,ELECCIONES GENERALES 25/10/2015,640
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,94,87,98,ELECCIONES GENERALES 25/10/2015,640
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,1,0,98,ELECCIONES GENERALES 25/10/2015,640
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,73,52,98,ELECCIONES GENERALES 25/10/2015,640
6,,VOTOS EN BLANCO,4,26,98,ELECCIONES GENERALES 25/10/2015,640
