,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
10,,,TOTALES,280.0,280.0,280.0,280,15,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,26.0,26.0,26.0,19,16,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,43.0,45.0,47.0,48,16,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,183.0,183.0,183.0,182,16,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,15.0,11.0,11.0,12,16,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,11.0,11,16,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,16,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,16,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,16,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,16,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,9.0,11.0,9.0,9,16,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,287.0,287.0,287.0,287,16,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,25.0,26.0,26.0,22,17,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,65.0,63.0,64.0,70,17,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,172.0,172.0,170.0,168,17,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,11.0,11.0,11.0,12,17,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,9.0,9.0,9,17,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,17,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,17,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,17,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,17,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,7.0,8.0,6,17,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,288.0,288.0,288.0,288,17,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,32.0,31.0,32.0,28,18,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,59.0,56.0,57.0,59,18,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,158.0,159.0,159.0,162,18,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,17.0,14.0,11,18,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,13.0,12.0,11,18,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,18,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,18,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,18,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,18,ELECCIONES GENERALES 22/10/2017,638
